City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
135,Mar Del Plata,AR,59.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
136,Tura,IN,70.29,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
137,Vicente Guerrero,MX,52.43,overcast clouds,19.1194,-98.1708,Churros Inn
139,Sao Joao Da Barra,BR,73.04,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
144,Road Town,VG,79.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
145,Rodrigues Alves,BR,71.2,overcast clouds,-7.738,-72.6509,Pousada Aconchego
147,Ajdabiya,LY,59.04,clear sky,30.7554,20.2263,Almadina Hotel
148,Maraba,BR,77.18,clear sky,-5.3686,-49.1178,Hotel Del Principe
150,Airai,TL,69.76,overcast clouds,-8.9266,125.4092,Juvinal Martin
151,Ancud,CL,56.43,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
152,Tarsus,TR,64.78,clear sky,36.9188,34.8784,Osmanli Marco Pasha Hotel
155,Fukue,JP,59.13,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
158,Hilo,US,79.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
159,Kibangay,PH,68.22,overcast clouds,8.0497,124.8931,Bernardo Aroy Jorban Property
160,Souillac,MU,84.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
162,Bloomfield,US,54.7,overcast clouds,40.8068,-74.1854,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
163,Pangai,TO,79.03,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
166,Saint-Denis,FR,42.39,fog,48.9167,2.3333,ibis budget Paris Porte de Montmartre
167,Ahipara,NZ,66.67,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
170,Trincomalee,LK,81.54,scattered clouds,8.5711,81.2335,Welcombe Hotel
173,Ponte Nova,BR,65.23,broken clouds,-20.4164,-42.9086,Hotel Beira Rio
174,Mineiros,BR,68.54,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
175,Hervey Bay,AU,77.11,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
